Job_Title,Average_Salary,Years_Experience,Education_Level,AI_Exposure_Index,Tech_Growth_Factor,Automation_Probability_2030,Risk_Category,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10
Doctor,45089,4,PhD,0.96,0.65,0.29,Low,0.09,0.22,0.44,0.99,0.49,0.55,0.69,0.97,0.78,0.22
Teacher,83341,5,Master's,0.1,1.14,0.1,Low,0.26,0.89,0.33,0.57,0.4,0.07,0.36,0.41,0.9,0.32
Construction Worker,126621,13,High School,0.55,0.88,0.73,High,0.77,0.93,0.95,0.67,0.41,0.48,0.66,0.82,0.37,0.92
Retail Worker,128283,4,Bachelor's,0.53,1.46,0.93,High,0.7,0.32,0.22,0.08,0.71,0.5,0.57,0.47,0.48,0.57
Lawyer,100446,9,High School,0.03,1.3,0.46,Medium,0.74,0.95,0.31,0.09,0.23,0.22,0.74,0.06,0.05,0.69
Chef,107413,21,Bachelor's,0.7,0.85,0.48,Medium,0.56,0.69,0.24,0.84,0.72,0.23,0.97,0.66,0.45,0.16
Research Scientist,106789,20,PhD,0.16,0.93,0.15,Low,0.72,0.19,0.82,0.33,0.44,0.77,0.63,0.31,0.39,0.31
Chef,86193,3,High School,0.33,1.23,0.53,Medium,0.15,0.31,0.22,0.39,0.52,0.51,0.75,0.19,0.95,0.34
Chef,102652,16,High School,0.69,1.31,0.45,Medium,0.75,0.88,0.77,0.03,0.83,0.77,0.67,0.76,0.98,0.43
Mechanic,131038,25,PhD,0.58,1.23,0.39,Medium,0.26,0.23,0.69,0.35,0.41,0.71,0.97,0.16,0.06,0.19
Retail Worker,55143,2,Master's,0.19,1.08,0.85,High,0.29,0.07,0.4,0.19,0.18,0.52,0.67,0.08,0.58,0.25
Financial Analyst,112702,22,Bachelor's,0.81,1.31,0.45,Medium,0.57,0.79,0.06,0.61,0.84,0.37,0.46,0.7,0.07,0.39
Customer Support,141459,26,PhD,0.02,0.7,0.8,High,0.2,0.6,0.45,0.04,0.28,0.02,0.36,0.26,0.69,0.31
Graphic Designer,56107,24,High School,0.73,0.98,0.52,Medium,0.84,0.21,0.99,0.9,0.29,0.89,0.75,0.93,0.69,0.67
Lawyer,98402,8,Bachelor's,0.47,0.7,0.43,Medium,0.98,0.09,0.72,0.17,0.01,0.5,0.16,0.97,0.2,0.19
Security Guard,36005,14,High School,0.33,0.52,0.82,High,0.51,0.05,0.24,0.83,0.46,0.43,0.7,0.71,0.76,0.83
Doctor,81038,25,Bachelor's,0.07,0.88,0.26,Low,0.08,0.58,0.7,0.48,0.26,0.33,0.07,0.29,0.04,0.73
UX Researcher,96783,20,Bachelor's,0.63,1.16,0.49,Medium,0.16,0.01,0.34,0.75,0.96,0.43,0.37,0.45,0.43,0.63
Nurse,101020,21,PhD,0.78,1.15,0.16,Low,0.95,0.71,0.43,0.45,0.82,0.44,0.52,0.29,0.84,0.52
Lawyer,95217,16,Bachelor's,0.66,0.78,0.63,Medium,0.31,0.99,0.61,0.84,0.07,0.35,0.74,0.66,0.19,0.36
UX Researcher,97323,19,Bachelor's,0.61,0.84,0.42,Medium,0.21,0.41,0.2,0.96,0.15,0.91,0.43,0.38,0.23,0.64
Teacher,80049,19,Bachelor's,0.47,0.56,0.28,Low,0.98,0.43,0.61,0.45,0.32,0.08,0.46,0.82,0.02,0.58
Nurse,48428,2,Master's,0.22,0.68,0.24,Low,0.26,0.19,0.38,0.39,0.87,0.62,0.41,0.53,0.95,0.11
Teacher,85331,27,High School,0.96,1.46,0.09,Low,0.15,0.42,0.05,0.65,0.08,0.06,0.49,0.96,0.43,0.36
Marketing Manager,35973,2,High School,0.53,0.88,0.45,Medium,0.19,0.51,0.44,0.27,0.16,0.31,0.51,0.06,0.15,0.95
Software Engineer,67236,10,Master's,0.06,1.19,0.32,Medium,0.74,0.75,0.65,0.73,0.09,0.73,0.14,0.34,0.94,0.5
Financial Analyst,112473,25,PhD,0.4,1.28,0.56,Medium,0.58,0.9,0.02,0.16,0.62,0.07,0.64,0.98,0.88,0.59
Chef,138480,27,Bachelor's,0.12,0.95,0.47,Medium,0.34,0.0,0.89,0.78,0.65,0.13,0.38,0.92,0.62,0.6
Data Scientist,73464,27,Master's,0.56,1.1,0.44,Medium,0.37,0.69,0.32,0.56,0.28,0.17,0.45,0.22,0.9,0.3
Doctor,118060,19,Bachelor's,0.26,0.76,0.14,Low,0.92,0.39,0.82,0.2,0.05,0.78,0.54,0.5,0.27,0.07
Software Engineer,76905,12,High School,0.87,0.62,0.67,Medium,0.27,0.53,0.07,0.43,0.13,0.05,0.97,0.73,0.72,0.09
Data Scientist,101341,15,High School,0.85,0.51,0.42,Medium,1.0,0.43,0.89,0.33,0.53,0.85,0.61,0.73,0.23,0.16
Security Guard,119314,26,Master's,0.49,1.3,0.79,High,0.56,0.8,0.24,0.88,0.95,0.04,0.06,0.09,0.78,0.19
Customer Support,109455,26,PhD,0.44,1.34,0.9,High,0.96,0.25,0.23,0.03,0.41,0.46,0.96,0.83,0.17,0.8
Software Engineer,96951,6,Master's,0.08,1.34,0.69,Medium,0.09,0.81,0.86,0.12,0.28,0.73,0.81,0.35,0.16,0.65
Software Engineer,44057,5,High School,0.5,0.64,0.64,Medium,0.65,0.87,0.93,0.81,0.96,0.95,0.62,0.73,0.7,0.62
Retail Worker,60185,28,High School,0.36,0.6,0.78,High,0.07,0.92,0.45,0.19,0.58,0.2,0.8,0.31,0.31,0.87
Data Scientist,63797,24,Bachelor's,0.68,0.79,0.31,Medium,0.2,0.4,0.17,0.19,0.39,0.96,0.76,0.32,0.95,0.65
HR Specialist,52792,6,High School,0.47,0.91,0.39,Medium,0.39,0.53,0.53,0.76,0.36,0.72,0.58,0.96,0.39,0.9
AI Engineer,136827,15,High School,0.64,1.15,0.07,Low,0.95,0.11,0.56,0.33,0.43,0.61,0.91,0.46,0.99,0.59
Nurse,34134,12,PhD,0.19,1.22,0.06,Low,0.48,0.15,0.43,0.75,0.46,0.16,0.25,0.37,0.07,0.58
Security Guard,117463,19,High School,0.06,0.9,0.8,High,0.33,0.56,0.35,0.42,0.8,0.16,0.62,0.51,0.31,0.73
AI Engineer,74597,12,High School,0.48,1.17,0.25,Low,0.97,0.63,0.87,0.0,0.53,0.21,0.09,0.53,0.75,0.41
HR Specialist,40603,24,High School,0.49,0.94,0.42,Medium,0.38,0.35,0.65,0.12,0.09,0.66,0.55,0.43,0.15,0.41
Teacher,106968,22,Master's,0.7,0.56,0.22,Low,0.24,0.32,0.2,0.78,0.65,0.61,0.67,0.24,0.44,0.63
Graphic Designer,149700,26,PhD,0.79,0.79,0.61,Medium,0.44,0.67,0.46,0.95,0.18,0.68,0.58,0.17,0.07,0.8
Doctor,77890,26,High School,0.19,1.48,0.23,Low,0.25,0.59,0.53,0.84,0.73,0.83,0.21,0.64,0.04,0.07
Research Scientist,141930,5,Bachelor's,0.02,1.08,0.26,Low,0.38,0.04,0.71,0.93,0.72,0.58,0.23,0.02,0.69,0.23
Financial Analyst,65976,2,Bachelor's,0.47,1.03,0.6,Medium,0.78,0.64,0.94,0.98,0.95,0.82,0.71,0.66,0.1,0.27
Marketing Manager,81356,7,High School,0.14,0.94,0.36,Medium,0.9,0.81,0.07,0.25,0.82,0.8,0.95,1.0,0.98,0.41
Nurse,129928,0,Bachelor's,0.76,0.8,0.25,Low,0.53,0.79,0.28,0.51,0.56,0.94,0.27,0.94,0.8,0.73
Truck Driver,51625,1,Bachelor's,0.61,0.74,0.75,High,0.87,0.73,0.21,0.62,0.45,0.16,0.53,0.28,0.1,0.47
Chef,118760,20,High School,0.05,0.9,0.4,Medium,0.03,0.13,0.14,0.18,0.8,0.44,0.15,0.1,0.3,0.8
Software Engineer,111299,27,High School,0.16,0.9,0.52,Medium,0.03,0.63,0.4,0.01,0.67,0.71,0.63,0.34,0.53,0.39
UX Researcher,94535,1,High School,0.7,0.71,0.41,Medium,0.57,0.45,0.74,0.38,0.86,0.43,0.04,0.02,0.65,0.54
Truck Driver,116030,1,Master's,0.79,0.88,0.95,High,0.95,0.01,0.9,0.68,0.5,0.58,0.84,0.95,0.56,0.18
Security Guard,90127,24,PhD,0.08,1.14,0.9,High,0.35,0.07,0.69,0.34,0.25,0.69,0.97,0.75,0.49,0.6
Software Engineer,55577,7,High School,0.81,1.1,0.69,Medium,0.98,0.35,0.99,0.96,0.64,0.33,0.75,0.27,0.63,0.02
Construction Worker,82573,24,High School,0.95,0.74,0.89,High,0.29,0.71,0.7,0.18,0.6,0.86,0.38,0.71,0.67,0.26
Doctor,44703,3,PhD,0.56,0.86,0.09,Low,0.47,0.73,0.62,0.73,0.79,0.44,0.52,0.99,0.97,0.41
Financial Analyst,66003,2,High School,0.77,1.15,0.42,Medium,0.49,0.04,0.19,0.42,0.83,0.48,0.59,0.87,0.31,0.7
Research Scientist,44756,11,High School,0.2,0.86,0.29,Low,0.98,0.22,0.07,0.27,0.4,0.44,0.62,0.9,0.33,0.85
Graphic Designer,45380,20,Bachelor's,0.04,1.0,0.32,Medium,0.39,0.9,0.24,0.71,0.3,0.04,0.56,0.83,0.41,0.62
Truck Driver,139044,6,High School,0.19,1.23,0.83,High,0.75,0.49,0.13,0.57,0.49,0.52,0.88,0.89,0.45,0.46
Data Scientist,114705,29,Master's,0.52,1.45,0.56,Medium,0.28,0.53,0.63,0.64,0.59,0.18,0.03,0.34,0.43,0.06
Nurse,141375,16,PhD,0.34,1.41,0.09,Low,0.06,0.48,0.19,0.94,0.01,0.41,0.93,0.38,0.09,0.3
Construction Worker,135454,16,PhD,0.19,0.97,0.91,High,0.87,0.05,0.16,0.28,0.59,0.36,0.84,0.72,0.1,0.62
Research Scientist,55903,23,Master's,0.26,0.68,0.09,Low,0.62,0.56,0.18,0.99,0.42,0.1,0.12,0.58,0.98,0.57
Retail Worker,55036,21,High School,0.44,0.94,0.83,High,0.7,0.37,0.86,0.03,0.44,0.51,0.61,0.28,0.43,0.48
Financial Analyst,117309,8,PhD,0.77,1.24,0.44,Medium,1.0,0.85,0.26,0.2,0.31,0.45,0.85,0.78,0.85,0.27
Software Engineer,100412,21,Bachelor's,0.28,0.61,0.57,Medium,0.14,0.67,0.65,0.81,0.14,0.78,1.0,0.85,0.75,0.66
Financial Analyst,32414,16,Bachelor's,0.84,1.04,0.6,Medium,0.79,0.51,0.54,0.2,0.24,0.9,0.84,0.01,0.87,0.03
Mechanic,140419,14,PhD,0.29,0.98,0.46,Medium,0.93,0.04,0.68,0.85,0.96,0.18,0.53,0.04,0.5,0.13
Research Scientist,55976,17,Master's,0.11,1.01,0.18,Low,0.97,0.65,0.29,0.24,0.13,0.76,0.69,0.61,0.04,0.76
Doctor,78787,25,Master's,0.96,1.09,0.13,Low,0.38,0.18,0.72,0.71,0.2,0.16,0.08,0.91,0.23,0.34
Security Guard,104918,4,High School,0.41,1.21,0.92,High,0.18,0.69,0.35,0.98,0.3,0.01,0.52,0.15,0.04,0.7
Retail Worker,118121,25,Master's,0.46,1.18,0.83,High,0.63,0.6,0.67,0.2,0.27,0.44,0.45,0.77,0.37,0.16
Truck Driver,34847,10,PhD,0.21,1.23,0.82,High,0.71,0.42,0.89,0.98,0.67,0.86,0.51,0.93,0.83,0.99
Retail Worker,100182,12,PhD,0.78,1.04,0.76,High,0.35,0.89,0.06,0.59,0.37,0.39,0.88,0.85,0.6,0.27
Software Engineer,128757,14,PhD,0.41,0.85,0.34,Medium,0.54,0.3,0.66,0.32,0.43,0.05,0.99,0.51,0.02,0.54
UX Researcher,129584,7,Bachelor's,0.77,1.2,0.36,Medium,0.66,0.77,0.57,0.89,0.28,0.24,0.87,0.63,0.0,0.35
Construction Worker,59476,5,Master's,0.03,0.5,0.77,High,0.91,0.9,0.52,0.55,0.33,0.24,0.82,0.11,0.49,0.63
Research Scientist,81880,3,Master's,0.52,1.08,0.24,Low,0.23,0.29,0.57,0.98,0.22,0.99,0.71,0.83,0.09,0.3
AI Engineer,148283,25,Bachelor's,0.37,1.48,0.08,Low,0.56,0.01,0.71,0.2,0.13,0.34,0.77,0.11,0.23,0.01
Lawyer,32393,24,PhD,0.59,1.22,0.56,Medium,0.14,0.59,0.13,0.4,0.57,0.56,0.12,0.03,0.8,0.73
Retail Worker,35481,1,High School,0.13,1.39,0.89,High,1.0,0.25,0.49,0.24,0.62,0.12,0.13,0.07,0.69,0.49
Data Scientist,137033,28,Bachelor's,0.88,1.24,0.48,Medium,0.98,0.46,0.11,0.99,0.02,0.55,0.31,0.5,0.56,0.24
AI Engineer,49361,20,Master's,0.68,1.34,0.17,Low,0.83,0.78,0.67,0.45,0.27,0.86,0.65,0.8,0.55,0.17
Teacher,59146,9,Bachelor's,0.04,1.43,0.1,Low,0.91,0.06,0.95,0.2,0.3,0.49,0.38,0.67,0.97,0.61
Financial Analyst,113102,26,PhD,0.75,1.34,0.67,Medium,0.58,0.78,0.49,0.04,0.16,0.13,0.17,0.01,0.86,0.56
UX Researcher,37769,22,PhD,0.41,0.96,0.33,Medium,0.27,0.85,0.74,0.56,0.48,0.26,0.47,0.6,0.71,0.17
Customer Support,126939,9,High School,0.5,1.11,0.82,High,0.57,0.11,0.43,0.28,0.09,0.19,0.6,0.2,0.18,0.55
Retail Worker,68226,11,PhD,0.79,1.41,0.85,High,0.41,0.73,0.26,0.08,0.34,0.3,0.68,0.55,0.14,0.91
Customer Support,99516,21,PhD,0.46,1.44,0.72,High,0.79,0.36,0.7,0.93,0.52,0.02,0.03,0.33,0.78,0.29
Security Guard,143645,26,Bachelor's,0.78,0.62,0.91,High,0.27,0.05,0.12,0.95,0.45,0.26,0.52,0.68,0.32,0.73
Graphic Designer,134230,21,Master's,0.11,1.05,0.36,Medium,0.94,0.0,0.76,0.28,0.85,0.06,0.95,0.1,0.79,0.52
Lawyer,53167,22,High School,0.28,1.34,0.38,Medium,0.72,0.45,1.0,0.61,0.1,0.42,0.07,0.29,0.34,0.85
UX Researcher,52772,29,PhD,0.01,1.03,0.39,Medium,0.32,0.02,0.75,0.95,0.22,0.34,0.21,0.93,0.01,0.58
Teacher,55354,29,Bachelor's,0.19,1.09,0.06,Low,0.81,0.27,0.99,0.92,0.73,0.5,0.77,0.13,0.31,0.03
Lawyer,51942,7,Bachelor's,0.81,1.45,0.57,Medium,0.73,0.9,0.94,0.49,0.11,0.47,0.56,0.63,0.99,0.92
HR Specialist,38152,6,High School,0.11,0.71,0.37,Medium,0.36,0.88,0.44,0.57,0.18,0.49,0.87,0.77,0.08,0.86
Graphic Designer,134753,3,Master's,0.67,0.65,0.57,Medium,0.04,0.6,0.65,0.24,0.94,0.05,0.89,0.38,0.71,0.65
HR Specialist,42061,5,High School,0.32,1.03,0.64,Medium,0.95,0.02,0.35,0.67,0.53,0.94,0.02,0.44,0.67,0.22
HR Specialist,76350,12,High School,0.08,0.95,0.57,Medium,0.27,0.07,0.96,0.91,0.93,0.98,0.18,0.16,0.03,0.89
Financial Analyst,99828,27,Bachelor's,0.63,1.43,0.53,Medium,0.13,0.18,0.13,0.31,0.38,0.8,0.19,0.73,0.49,1.0
Graphic Designer,37084,11,Bachelor's,0.97,0.84,0.35,Medium,0.51,0.12,0.49,0.27,0.49,0.95,0.29,0.99,0.23,0.21
Chef,112617,26,High School,0.84,1.25,0.59,Medium,0.28,0.02,0.16,0.35,0.97,0.92,0.2,0.73,0.58,0.05
Security Guard,36486,5,Bachelor's,0.07,0.61,0.86,High,0.76,0.32,0.49,0.95,0.95,0.31,0.81,0.59,0.98,0.48
Software Engineer,107925,19,PhD,0.77,1.0,0.62,Medium,0.26,0.12,0.43,0.94,0.5,0.64,0.62,0.13,0.39,0.71
Mechanic,52474,27,Master's,0.17,0.91,0.34,Medium,0.24,0.38,0.54,0.23,0.23,0.78,0.96,0.32,0.69,0.26
Truck Driver,48274,11,Bachelor's,0.67,1.3,0.71,High,0.6,0.53,0.29,0.26,0.58,0.71,0.03,0.57,0.17,0.14
Marketing Manager,79696,28,PhD,0.31,0.94,0.44,Medium,0.65,0.47,0.96,0.35,0.74,0.26,0.51,0.55,0.33,0.47
UX Researcher,82736,21,PhD,0.01,0.72,0.58,Medium,0.77,0.28,0.41,0.04,0.24,0.78,0.61,0.21,0.26,0.82
Doctor,65539,9,Bachelor's,0.33,1.16,0.19,Low,0.46,0.9,0.22,0.74,0.16,0.62,0.87,0.46,0.72,0.82
Marketing Manager,71135,9,Bachelor's,0.71,1.42,0.53,Medium,0.19,0.13,0.26,0.1,0.51,0.07,0.22,0.44,0.47,0.57
Lawyer,107487,3,Bachelor's,0.05,0.58,0.32,Medium,0.42,0.04,0.75,0.22,0.94,0.49,0.45,0.78,0.71,0.61
UX Researcher,146298,6,Bachelor's,0.64,1.04,0.54,Medium,0.68,0.17,0.3,0.74,0.16,0.34,0.67,0.94,0.08,0.52
Chef,144571,22,Master's,0.38,0.68,0.56,Medium,0.76,0.25,0.71,0.45,0.28,0.52,0.38,0.23,0.76,0.8
Software Engineer,112753,1,Master's,0.38,0.67,0.64,Medium,0.33,0.75,0.82,0.77,0.39,0.94,0.66,0.58,0.7,0.04
Software Engineer,81716,26,Master's,0.88,0.66,0.47,Medium,0.41,0.36,0.56,1.0,0.26,0.7,0.76,0.58,0.1,0.57
AI Engineer,46250,19,PhD,0.34,1.14,0.29,Low,0.8,0.69,0.97,0.17,0.77,0.41,0.36,0.52,0.03,0.31
Doctor,102006,17,Bachelor's,0.14,0.84,0.25,Low,0.2,0.53,0.75,0.24,0.92,0.87,0.25,0.99,0.67,0.29
Doctor,60837,5,Master's,0.67,1.11,0.23,Low,0.27,0.98,0.86,0.75,0.03,0.59,0.71,0.85,0.95,0.92
Data Scientist,66742,3,High School,0.6,0.97,0.43,Medium,0.37,0.37,0.97,0.23,0.82,0.71,0.01,0.99,0.76,0.68
Graphic Designer,119131,10,PhD,0.56,0.75,0.31,Medium,0.84,0.9,0.16,0.79,0.74,0.18,0.42,0.42,0.76,0.84
Mechanic,107497,29,PhD,0.56,1.26,0.61,Medium,0.15,0.53,0.86,0.32,0.43,0.8,0.09,0.86,0.31,0.0
HR Specialist,57788,14,PhD,0.68,0.82,0.35,Medium,0.62,0.22,0.68,0.84,0.12,0.44,0.44,0.63,0.33,0.42
Mechanic,64712,19,PhD,0.65,0.78,0.62,Medium,0.67,0.65,0.42,0.96,0.27,0.58,0.31,0.74,0.05,0.05
Financial Analyst,68319,6,Master's,0.43,0.84,0.54,Medium,0.7,0.2,0.19,0.96,0.59,0.39,0.8,0.53,0.24,0.21
Retail Worker,67289,22,PhD,0.86,0.56,0.75,High,0.89,0.12,0.63,0.21,0.61,0.38,0.1,0.58,0.68,0.68
UX Researcher,75040,4,Master's,0.5,1.02,0.55,Medium,0.69,0.65,0.59,0.16,0.21,0.26,0.92,0.76,0.55,0.25
Truck Driver,120886,1,Bachelor's,0.9,1.39,0.73,High,0.8,0.45,0.32,0.74,0.61,0.78,0.07,0.32,0.32,0.33
Financial Analyst,64118,5,PhD,0.28,0.94,0.45,Medium,0.74,0.6,0.65,0.21,0.33,0.02,0.11,0.27,0.07,0.6
Graphic Designer,125381,13,High School,0.1,1.32,0.35,Medium,0.67,0.64,0.9,0.11,0.32,0.09,0.41,0.91,0.78,0.72
Customer Support,62146,26,Master's,0.88,0.95,0.74,High,0.84,0.28,0.05,0.13,0.61,0.61,0.26,0.73,0.77,0.92
Financial Analyst,60410,8,PhD,0.78,1.25,0.4,Medium,0.31,0.48,0.02,0.3,0.47,0.11,0.13,0.46,0.73,0.83
Truck Driver,110449,21,High School,0.47,0.88,0.75,High,0.15,0.79,0.47,0.79,0.7,0.19,0.51,0.44,0.42,0.54
Financial Analyst,142691,18,Master's,0.31,0.84,0.51,Medium,0.31,0.89,0.44,0.29,0.16,0.67,0.03,0.45,0.55,0.34
Security Guard,33659,17,PhD,0.68,1.47,0.83,High,0.54,0.25,0.39,0.03,0.69,0.31,0.54,0.25,0.62,0.45
Doctor,109911,9,PhD,0.94,1.21,0.12,Low,0.5,0.47,0.8,0.83,0.28,0.82,0.18,0.76,0.25,0.3
Mechanic,117298,28,PhD,0.42,1.49,0.36,Medium,0.46,0.73,0.01,0.15,0.02,0.99,0.76,0.37,0.16,0.09
Nurse,100114,14,PhD,0.98,1.17,0.14,Low,0.5,1.0,0.52,0.96,0.02,0.72,0.63,0.69,0.57,0.04
Nurse,149401,18,High School,0.92,0.73,0.3,Low,0.68,0.44,0.92,0.79,0.43,0.07,0.87,0.77,0.79,0.74
Lawyer,101160,3,High School,0.0,0.74,0.32,Medium,0.11,0.53,0.04,0.18,0.23,0.66,0.47,0.46,0.77,0.46
Chef,66594,23,High School,0.65,0.65,0.55,Medium,0.85,0.12,0.9,0.08,0.35,0.61,0.56,0.1,0.8,0.97
Chef,94043,5,PhD,0.9,1.06,0.67,Medium,0.18,0.79,0.06,0.88,0.67,0.37,0.19,0.82,0.6,0.36
Nurse,110270,21,High School,0.83,0.84,0.07,Low,0.91,0.39,0.35,0.2,0.9,0.22,0.64,0.88,0.03,0.83
Nurse,98393,29,High School,0.66,0.87,0.22,Low,0.25,0.02,0.95,0.02,0.82,0.17,0.39,0.82,0.21,0.87
Nurse,104038,26,Master's,0.37,1.16,0.14,Low,0.35,0.73,0.31,0.2,0.81,0.81,0.5,0.53,0.7,0.51
Lawyer,104088,11,PhD,0.99,0.65,0.54,Medium,0.89,0.69,0.88,0.34,0.27,0.85,0.39,0.71,0.15,0.76
Marketing Manager,38290,27,PhD,0.27,0.99,0.58,Medium,0.01,0.64,0.54,0.22,0.75,0.3,0.28,0.47,0.68,0.93
Research Scientist,86373,16,PhD,0.39,1.41,0.27,Low,0.2,0.38,0.56,0.85,0.53,0.97,0.8,0.95,0.73,0.88
Chef,73532,24,Master's,0.25,0.73,0.65,Medium,0.08,0.41,0.82,0.81,0.14,0.49,0.48,0.32,0.92,0.65
Nurse,132708,28,High School,0.07,0.89,0.26,Low,0.42,0.26,1.0,0.87,0.55,0.56,0.01,0.98,0.81,0.04
Nurse,144846,21,PhD,0.35,1.03,0.2,Low,0.61,0.73,0.66,0.07,0.46,0.66,0.3,0.31,0.12,0.42
Nurse,90254,8,Bachelor's,0.29,1.03,0.24,Low,0.01,0.9,0.39,0.87,0.04,0.15,0.32,0.35,0.85,0.01
Nurse,51219,14,Bachelor's,0.84,0.79,0.26,Low,0.48,0.18,0.8,0.38,0.71,0.84,0.96,0.09,0.01,0.55
Graphic Designer,114899,19,Master's,0.47,0.57,0.5,Medium,0.12,0.84,0.76,0.07,0.84,0.32,0.35,0.18,0.84,0.4
Retail Worker,63275,20,PhD,0.97,0.76,0.93,High,0.3,0.83,0.66,0.86,0.98,0.87,0.4,0.81,0.71,0.06
Graphic Designer,79662,18,High School,0.47,0.63,0.47,Medium,0.6,0.57,0.57,0.26,0.63,0.91,0.39,0.63,0.24,0.05
Doctor,62158,20,High School,0.05,1.22,0.22,Low,0.37,0.41,0.92,0.01,0.56,0.92,0.91,0.58,0.38,0.1
Research Scientist,103484,0,Master's,0.68,0.52,0.27,Low,0.59,0.05,0.24,0.59,0.04,0.78,0.92,0.96,0.73,0.86
Doctor,116810,4,Master's,0.46,1.21,0.11,Low,0.11,0.76,0.96,0.58,0.48,0.53,0.48,0.44,0.95,0.48
Security Guard,104035,19,Bachelor's,0.77,0.89,0.88,High,0.58,0.71,0.06,0.03,0.38,0.69,0.22,0.43,0.98,0.21
Financial Analyst,83917,17,Master's,0.83,1.39,0.67,Medium,0.51,0.68,0.62,0.31,0.28,0.34,0.22,0.76,0.96,0.87
UX Researcher,91752,29,PhD,0.05,1.26,0.46,Medium,0.82,0.78,0.63,0.26,0.1,0.25,0.51,0.98,0.06,0.2
Retail Worker,120866,3,Bachelor's,0.3,1.36,0.73,High,0.96,0.91,0.89,0.17,0.33,0.8,0.81,0.71,0.45,0.31
Security Guard,56974,6,High School,0.14,0.54,0.7,Medium,0.78,0.06,0.54,0.37,0.15,0.74,0.06,0.32,0.56,0.4
Financial Analyst,130672,16,Bachelor's,0.93,1.43,0.47,Medium,0.39,0.31,0.86,0.57,0.09,0.85,0.53,0.42,0.34,0.1
AI Engineer,58327,13,Master's,0.74,0.63,0.18,Low,0.56,0.17,0.43,0.65,0.28,0.33,0.12,0.41,0.58,0.12
Doctor,63258,22,PhD,0.4,1.18,0.13,Low,0.57,0.61,0.69,0.76,0.14,0.97,0.84,0.56,0.89,0.38
Lawyer,95777,27,PhD,0.73,1.44,0.36,Medium,0.64,0.81,0.91,0.28,0.13,0.25,0.58,0.92,0.58,0.92
UX Researcher,105127,14,Bachelor's,0.6,0.52,0.43,Medium,0.06,0.32,0.06,0.17,0.41,0.51,0.22,0.73,0.59,0.69
Teacher,64846,17,Bachelor's,0.73,1.44,0.11,Low,0.27,0.09,0.59,0.4,0.5,0.17,0.65,0.62,0.26,0.47
Lawyer,89397,11,Bachelor's,0.77,0.73,0.65,Medium,0.07,0.41,0.08,0.92,0.04,0.15,0.92,0.58,0.8,0.02
Teacher,148915,21,Bachelor's,0.98,1.08,0.26,Low,0.96,0.69,0.33,0.31,0.07,0.43,0.92,0.48,0.91,0.82
Research Scientist,140554,16,High School,0.95,1.21,0.27,Low,0.75,0.7,0.72,0.72,0.38,0.42,0.29,0.15,0.46,0.9
Financial Analyst,114153,28,PhD,0.06,1.31,0.67,Medium,0.83,0.73,0.15,0.35,0.57,0.08,0.11,0.93,0.7,0.28
Graphic Designer,137526,27,PhD,0.8,0.83,0.44,Medium,0.34,0.5,0.7,0.77,0.39,0.66,0.72,0.3,0.1,0.89
Nurse,126482,14,PhD,0.65,0.56,0.25,Low,0.57,0.85,0.97,0.96,0.86,0.01,0.89,0.08,0.85,0.28
UX Researcher,124274,26,High School,0.49,0.63,0.67,Medium,0.32,0.19,0.48,0.04,0.25,0.07,0.13,0.11,0.87,0.93
HR Specialist,48638,22,PhD,0.63,1.2,0.46,Medium,0.37,0.68,0.38,0.58,0.52,0.52,0.83,0.7,0.96,0.79
Software Engineer,73162,6,High School,0.74,1.17,0.56,Medium,0.48,0.06,0.95,0.85,0.49,0.16,0.82,0.43,0.39,0.67
Teacher,66105,28,High School,0.06,1.27,0.23,Low,0.59,0.34,0.16,0.1,0.0,0.21,0.41,0.24,0.31,0.39
AI Engineer,48246,10,High School,0.72,0.99,0.05,Low,0.23,0.71,0.3,0.92,0.71,0.29,0.52,0.67,0.19,0.25
Security Guard,86470,11,Master's,0.92,0.84,0.8,High,0.19,0.59,0.74,0.44,0.75,0.3,0.71,0.26,0.78,0.83
Marketing Manager,136054,12,Bachelor's,0.22,1.19,0.52,Medium,0.99,0.36,0.77,0.37,0.4,0.11,0.24,0.16,0.16,0.01
Retail Worker,109721,27,PhD,0.47,1.3,0.85,High,0.83,0.5,0.09,0.62,0.68,0.63,0.8,0.73,0.43,0.82
Software Engineer,90475,2,Master's,0.12,1.04,0.59,Medium,0.55,0.95,0.1,0.72,0.82,0.7,0.39,0.39,0.59,0.4
Truck Driver,48422,24,Master's,0.11,1.14,0.73,High,0.54,0.72,0.17,0.7,0.14,0.62,0.51,0.3,0.11,0.74
Data Scientist,74380,15,Master's,0.33,0.71,0.41,Medium,0.43,0.18,0.96,0.11,0.99,0.84,0.42,0.74,0.67,0.21
Chef,114999,10,Bachelor's,0.57,1.14,0.68,Medium,0.39,0.3,0.04,0.15,0.11,0.34,0.61,0.05,0.73,0.4
Construction Worker,45224,6,High School,0.57,1.27,0.92,High,0.89,0.52,0.4,0.56,0.4,0.24,0.32,0.23,0.27,0.09
Construction Worker,73302,10,High School,0.24,0.95,0.9,High,0.45,0.95,0.15,0.85,0.25,0.93,0.23,0.75,0.06,0.63
